LEFT,RIGHT,DIRECTION
8629.8125,12393.25,Back
7365.3125,15129.625,Back
11054.375,16790.6875,Back
8934.125,15496,Back
10665.8125,10344.6875,Back
11625.5625,13611.25,Back
11000.25,13594,Back
9120.9375,12765.25,Back
9999.25,11931.875,Back
10873.375,13497.0625,Back
10777.625,16995.3125,Back
11061.5625,13965.75,Back
6354.3125,15136.375,Back
9573.75,16689.0625,Back
10400.1875,14435.9375,Back
11592.625,13776.8125,Back
15555.1875,15706.9375,Back
11548.25,6729.1875,Back
12259,14656.1875,Back
9421.4375,13790.375,Back
9953.625,15775.375,Back
7090.3125,15884.875,Back
14431.75,14928.8125,Back
12949.625,16477.5625,Back
14712.5,14891.125,Back
10697.875,14461.75,Back
10922.5,15285.75,Back
5529.125,15316.5625,Back
6213.4375,15312.0625,Back
6746.5625,14181.6875,Back
9936.875,12381.9375,Back
8953.5,15868.5,Back
13218.9375,13927.125,Back
12324.0625,15723.5625,Back
14545.75,10957.6875,Back
16749.75,9646.5625,Back
15195.8125,14668.5,Back
9427.875,16341.3125,Back
6166.5625,17709,Back
16783.1875,9412.6875,Back
16710,13245.5625,Back
15180.25,15948.3125,Back
13245.4375,15671.75,Back
12021.75,10305.1875,Back
7199.9375,7540.1875,Back
12266.9375,13986.4375,Back
11820.6875,13014.3125,Back
14763.8125,12785.9375,Back
12251.5,15078.375,Back
12412.625,13112.25,Back
14055.375,13539.9375,Back
11699.625,14339.875,Back
11291.125,13817.0625,Back
11663.5625,13688.75,Back
